                        Platillo 1:                                                                          Ingredientes:   Precio:              Platillo 2:           Platillo 3:                Platillo 4:                Platillo 5:               Platillo 6:         Platillo 7:         Platillo 8:      Platillo 9:   Platillo 10:  
0   ENCHILADAS ROJAS ESTILO ZACATECAS  4 Tacos de lomo de cerdo deshebrado, con una salsa de chile de árbol y chile guajilo       120                       NaN                   NaN                        NaN                        NaN                       NaN                 NaN                 NaN              NaN            NaN
1                                 NaN         4 Empanadas de queso manchego con chorizo español, acompañadas de salsa macha       120   EMPANADAS DE CHORIQUESO                   NaN                        NaN                        NaN                       NaN                 NaN                 NaN              NaN            NaN
2                                 NaN                         4 tacos dorados de queso fresco, bañados en una salsa de mole       120                       NaN   ENMOLADAS CON QUESO                        NaN                        NaN                       NaN                 NaN                 NaN              NaN            NaN
3                                 NaN                                                  3 chiles guajillos rellenos de queso       120                       NaN                   NaN   MOLOTES DE CHILE RELLENO                        NaN                       NaN                 NaN                 NaN              NaN            NaN
4                                 NaN                               3 chimichangas con reyeno de carne de res en salsa roja       120                       NaN                   NaN                        NaN   CHIMICHANGAS DE CHILORIO                       NaN                 NaN                 NaN              NaN            NaN
5                                 NaN              200 gr de tortila estilo totopo, bañados en una salsa verde de tomatillo       120                       NaN                   NaN                        NaN                        NaN   CHILAQUILES SALSA VERDE                 NaN                 NaN              NaN            NaN
6                                 NaN                5 tavos de pollo, bañados en una salsa verde de tomatillo con cilantro       120                       NaN                   NaN                        NaN                        NaN                       NaN   ENCHILADAS SUIZAS                 NaN              NaN            NaN
7                                 NaN              3 gorditas de maiz rellenas con lomo de cerdo en salsa de chile de arbol       120                       NaN                   NaN                        NaN                        NaN                       NaN                 NaN   GORDITAS DE CARNE              NaN            NaN
8                                 NaN                            3 empalmes rellenos de carne molida y frijoles con chorizo       120                       NaN                   NaN                        NaN                        NaN                       NaN                 NaN                 NaN   EMPALMES ROJOS            NaN
9                                 NaN   3 mitades de pan lagunero, dorado y embarrado de frijoles con queso y pico de gallo       120                       NaN                   NaN                        NaN                        NaN                       NaN                 NaN                 NaN              NaN       MOLLETES
